
Benchmark started on 1/2/2017 16:18:17
Delta	Instant FPS	10-sec avg. FPS	Total avg. FPS
0	inf	inf	nan
108	9.25926	18.5185	inf
9	111.111	25.641	18.5185
6	166.667	32.5203	25.641
76	13.1579	25.1256	32.5203
14	71.4286	28.169	25.1256
3	333.333	32.4074	28.169
13	76.9231	34.9345	32.4074
13	76.9231	37.1901	34.9345
3	333.333	40.8163	37.1901
3	333.333	44.3548	40.8163
4	250	47.619	44.3548
3	333.333	50.9804	47.619
9	111.111	53.0303	50.9804
4	250	55.9701	53.0303
13	76.9231	56.9395	55.9701
4	250	59.6491	56.9395
3	333.333	62.5	59.6491
3	333.333	65.2921	62.5
3	333.333	68.0272	65.2921
3	333.333	70.7071	68.0272
3	333.333	73.3333	70.7071
3	333.333	75.9076	73.3333
4	250	78.1759	75.9076
4	250	80.3858	78.1759
3	333.333	82.8026	80.3858
4	250	84.9057	82.8026
14	71.4286	84.3373	84.9057
3	333.333	86.5672	84.3373
3	333.333	88.7574	86.5672
4	250	90.6433	88.7574
3	333.333	92.7536	90.6433
4	250	94.5559	92.7536
5	200	96.0452	94.5559
3	333.333	98.0392	96.0452
3	333.333	100	98.0392
4	250	101.648	100
4	250	103.261	101.648
5	200	104.558	103.261
3	333.333	106.383	104.558
3	333.333	108.179	106.383
4	250	109.661	108.179
3	333.333	111.399	109.661
5	200	112.532	111.399
4	250	113.924	112.532
4	250	115.288	113.924
4	250	116.625	115.288
4	250	117.936	116.625
3	333.333	119.512	117.936
4	250	120.773	119.512
4	250	122.01	120.773
4	250	123.223	122.01
4	250	124.413	123.223
3	333.333	125.874	124.413
4	250	127.021	125.874
5	200	127.854	127.021
3	333.333	129.252	127.854
4	250	130.337	129.252
3	333.333	131.696	130.337
5	200	132.45	131.696
3	333.333	133.772	132.45
4	250	134.783	133.772
3	333.333	136.069	134.783
4	250	137.045	136.069
4	250	138.004	137.045
4	250	138.947	138.004
3	333.333	140.167	138.947
4	250	141.079	140.167
5	200	141.684	141.079
4	250	142.566	141.684
5	200	143.145	142.566
4	250	144	143.145
5	200	144.554	144
4	250	145.383	144.554
3	333.333	146.484	145.383
7	142.857	146.435	146.484
5	200	146.947	146.435
4	250	147.727	146.947
4	250	148.496	147.727
4	250	149.254	148.496
10	100	148.352	149.254
5	200	148.82	148.352
14	71.4286	146.903	148.82
5	200	147.368	146.903
4	250	148.084	147.368
4	250	148.789	148.084
4	250	149.485	148.789
4	250	150.171	149.485
5	200	150.592	150.171
4	250	151.261	150.592
5	200	151.667	151.261
4	250	152.318	151.667
4	250	152.961	152.318
5	200	153.344	152.961
17	58.8235	150.794	153.344
17	58.8235	148.377	150.794
5	200	148.773	148.377
