
Benchmark started on 1/2/2017 11:57:54
Delta	Instant FPS	10-sec avg. FPS	Total avg. FPS
0	inf	inf	nan
89	11.236	22.4719	inf
19	52.6316	27.7778	22.4719
13	76.9231	33.0578	27.7778
17	58.8235	36.2319	33.0578
14	71.4286	39.4737	36.2319
3	333.333	45.1613	39.4737
16	62.5	46.7836	45.1613
3	333.333	51.7241	46.7836
3	333.333	56.4972	51.7241
3	333.333	61.1111	56.4972
3	333.333	65.5738	61.1111
3	333.333	69.8925	65.5738
2	500	74.4681	69.8925
3	333.333	78.534	74.4681
3	333.333	82.4742	78.534
3	333.333	86.2944	82.4742
2	500	90.4523	86.2944
3	333.333	94.0594	90.4523
3	333.333	97.561	94.0594
3	333.333	100.962	97.561
2	500	104.762	100.962
3	333.333	107.981	104.762
3	333.333	111.111	107.981
2	500	114.679	111.111
3	333.333	117.647	114.679
3	333.333	120.536	117.647
2	500	123.894	120.536
3	333.333	126.638	123.894
3	333.333	129.31	126.638
3	333.333	131.915	129.31
3	333.333	134.454	131.915
3	333.333	136.929	134.454
3	333.333	139.344	136.929
3	333.333	141.7	139.344
6	166.667	142.292	141.7
4	250	143.969	142.292
13	76.9231	140.741	143.969
3	333.333	142.857	140.741
3	333.333	144.928	142.857
3	333.333	146.953	144.928
3	333.333	148.936	146.953
3	333.333	150.877	148.936
4	250	152.249	150.877
4	250	153.584	152.249
3	333.333	155.405	153.584
3	333.333	157.191	155.405
3	333.333	158.94	157.191
3	333.333	160.656	158.94
5	200	161.29	160.656
4	250	162.42	161.29
4	250	163.522	162.42
3	333.333	165.109	163.522
3	333.333	166.667	165.109
4	250	167.683	166.667
3	333.333	169.184	167.683
3	333.333	170.659	169.184
3	333.333	172.107	170.659
3	333.333	173.529	172.107
4	250	174.419	173.529
3	333.333	175.792	174.419
3	333.333	177.143	175.792
2	500	178.977	177.143
3	333.333	180.282	178.977
4	250	181.059	180.282
3	333.333	182.32	181.059
3	333.333	183.562	182.32
4	250	184.282	183.562
3	333.333	185.484	184.282
2	500	187.166	185.484
3	333.333	188.329	187.166
4	250	188.976	188.329
3	333.333	190.104	188.976
3	333.333	191.214	190.104
4	250	191.816	191.214
3	333.333	192.893	191.816
4	250	193.467	192.893
4	250	194.03	193.467
3	333.333	195.062	194.03
3	333.333	196.078	195.062
3	333.333	197.08	196.078
5	200	197.115	197.08
4	250	197.619	197.115
3	333.333	198.582	197.619
4	250	199.063	198.582
3	333.333	200	199.063
3	333.333	200.924	200
21	47.619	193.833	200.924
4	250	194.323	193.833
15	66.6667	190.275	194.323
18	55.5556	185.336	190.275
18	55.5556	180.747	185.336
13	76.9231	178.161	180.747
18	55.5556	174.074	178.161
18	55.5556	170.251	174.074
15	66.6667	167.539	170.251
19	52.6316	163.851	167.539
14	71.4286	161.716	163.851
19	52.6316	158.4	161.716
15	66.6667	156.25	158.4
19	52.6316	153.263	156.25
16	62.5	151.111	153.263
15	66.6667	149.275	151.111
20	50	146.479	149.275
14	71.4286	145.028	146.479
19	52.6316	142.665	145.028
13	76.9231	141.534	142.665
5	200	141.919	141.534
13	76.9231	140.827	141.919
10	100	140.306	140.827
4	250	140.863	140.306
18	55.5556	138.958	140.863
12	83.3333	138.142	138.958
4	250	138.686	138.142
13	76.9231	137.725	138.686
4	250	138.26	137.725
4	250	138.79	138.26
3	333.333	139.48	138.79
4	250	140	139.48
4	250	140.515	140
3	333.333	141.19	140.515
4	250	141.696	141.19
3	333.333	142.361	141.696
3	333.333	143.022	142.361
5	200	143.349	143.022
3	333.333	144	143.349
17	58.8235	142.377	144
6	166.667	142.539	142.377
4	250	143.016	142.539
3	333.333	143.646	143.016
3	333.333	144.273	143.646
4	250	144.737	144.273
